Date,Team,Acquired,Relinquished,Notes
2015-02-03,Blazers,, Victor Claver,placed on IL
2015-02-03,Blazers, Robin Lopez,,activated from IL
2015-02-03,Heat, Luol Deng,,activated from IL
2015-02-03,Nuggets,, JaVale McGee,placed on IL with illness
2015-02-03,Nuggets, Darrell Arthur,,activated from IL
2015-02-03,Nuggets, Kenneth Faried,,activated from IL
2015-02-03,Warriors,, Ognjen Kuzmic / Ognen Kuzmic,placed on IL
2015-02-03,Warriors, Festus Ezeli,,activated from IL
2015-02-03,Hornets, Jannero Pargo,,activated from IL
2015-02-04,Magic,, Aaron Gordon,placed on IL with sore left foot
2015-02-04,Magic, Andrew Nicholson,,activated from IL
2015-02-04,Spurs,, Tiago Splitter,placed on IL
2015-02-04,Spurs, Marco Belinelli,,activated from IL
2015-02-04,Thunder,, Mitch McGary,placed on IL
2015-02-04,Thunder, Perry Jones III,,activated from IL
2015-02-05,Blazers,, Chris Kaman,placed on IL with back injury
2015-02-05,Blazers, Victor Claver,,activated from IL
2015-02-05,Hornets,, Bismack Biyombo,placed on IL with bone bruise in right knee
2015-02-05,Suns,, T.J. Warren,placed on IL
2015-02-05,Suns, Zoran Dragic,,activated from IL
2015-02-05,Wizards,, Drew Gooden,placed on IL
2015-02-05,Wizards, DeJuan Blair,,activated from IL
2015-02-06,Knicks, Amare Stoudemire / Amar'e Stoudemire,,activated from IL
2015-02-06,Magic,, Andrew Nicholson,placed on IL
2015-02-06,Magic, Aaron Gordon,,activated from IL
2015-02-06,Raptors,, Bruno Caboclo,placed on IL
2015-02-06,Raptors, James Johnson,,activated from IL
2015-02-06,Spurs,, Jeff Ayres / Jeff Pendergraph,placed on IL
2015-02-06,Spurs, Tiago Splitter,,activated from IL
2015-02-06,Thunder,, Grant Jerrett,placed on IL
2015-02-06,Thunder, Kevin Durant,,activated from IL
2015-02-06,Knicks,, Cleanthony Early,placed on IL
2015-02-07,Blazers,, Victor Claver,placed on IL
2015-02-07,Blazers, Chris Kaman,,activated from IL
2015-02-07,Kings,, Darren Collison,placed on IL with strained right hip flexor (out for season)
2015-02-07,Kings, Reggie Evans,,activated from IL
2015-02-07,Knicks,, Carmelo Anthony,placed on IL for rest
2015-02-07,Knicks, Cleanthony Early,,activated from IL
2015-02-07,Wizards,, Bradley Beal,placed on IL with sore right big toe
2015-02-07,Wizards, Drew Gooden,,activated from IL
2015-02-08,Bulls,, Kirk Hinrich,placed on IL with turf toe
2015-02-08,Hawks, Shelvin Mack,,activated from IL
2015-02-08,Kings,, Rudy Gay,placed on IL with sore left foot
2015-02-08,Magic, Andrew Nicholson,,activated from IL
2015-02-08,Pacers,, Ian Mahinmi,placed on IL with sprained right ankle
2015-02-08,Spurs, Jeff Ayres / Jeff Pendergraph,,activated from IL
2015-02-08,Suns,, Archie Goodwin,placed on IL
2015-02-08,Suns,, Reggie Bullock,placed on IL
2015-02-08,Suns, T.J. Warren,,activated from IL
2015-02-08,Suns, Tyler Ennis,,activated from IL
2015-02-08,Thunder,, Anthony Morrow,placed on IL with right shoulder injury
2015-02-08,Pacers, Lavoy Allen,,activated from IL
2015-02-08,Thunder, Mitch McGary,,activated from IL
2015-02-08,Hawks,, Mike Muscala,placed on IL
2015-02-08,Spurs,, Reggie Williams,placed on IL
2015-02-09,Knicks,, Cleanthony Early,placed on IL
2015-02-09,Knicks,, Travis Wear,placed on IL
2015-02-09,Knicks, Andrea Bargnani,,activated from IL
2015-02-09,Knicks, Carmelo Anthony,,activated from IL
2015-02-09,Nuggets,, Jameer Nelson,placed on IL with Achilles injury
2015-02-09,Nuggets, JaVale McGee,,activated from IL
2015-02-09,Spurs,, Emanuel Ginobili / Manu Ginobili,placed on IL for rest
2015-02-09,Spurs, Reggie Williams,,activated from IL
2015-02-09,Thunder, Anthony Morrow,,activated from IL
2015-02-09,Timberwolves,, Glenn Robinson III,placed on IL
2015-02-09,Thunder,, Steven Adams,placed on IL with fractured right finger
2015-02-09,Timberwolves, Shabazz Muhammad,,activated from IL
2015-02-10,Bulls, Mike Dunleavy Jr.,,activated from IL
2015-02-10,Rockets,, Terrence Jones,placed on IL with flu
2015-02-10,Rockets, Clint Capela,,activated from IL
2015-02-10,Rockets, Nick Johnson,,activated from IL
2015-02-11,Blazers,, Chris Kaman,placed on IL with ankle injury
2015-02-11,Blazers, Victor Claver,,activated from IL
2015-02-11,Grizzlies, Russ Smith,,activated from IL
2015-02-11,Knicks,, Carmelo Anthony,placed on IL with knee injury (out for season)
2015-02-11,Knicks,, Lance Thomas,placed on IL with ankle injury
2015-02-11,Knicks, Cleanthony Early,,activated from IL
2015-02-11,Knicks, Travis Wear,,activated from IL
2015-02-11,Magic,, Tobias Harris,placed on IL
2015-02-11,Mavericks,, Tyson Chandler,placed on IL with sprained left ankle
2015-02-11,Pacers,, Lavoy Allen,placed on IL
2015-02-11,Pacers, Ian Mahinmi,,activated from IL
2015-02-11,Pistons,, Caron Butler,placed on IL with back spasms
2015-02-11,Spurs,, Reggie Williams,placed on IL
2015-02-11,Spurs, Emanuel Ginobili / Manu Ginobili,,activated from IL
2015-02-11,Timberwolves,, Gary Neal,placed on IL
2015-02-11,Timberwolves, Glenn Robinson III,,activated from IL
2015-02-12,Bulls,, Jimmy Butler,placed on IL with strained right shoulder
2015-02-19,Mavericks,, Amare Stoudemire / Amar'e Stoudemire,placed on IL with sprained left ankle
2015-02-19,Mavericks,, Dwight Powell,placed on IL
2015-02-19,Mavericks, Rajon Rondo,,activated from IL
2015-02-19,Mavericks, Tyson Chandler,,activated from IL
2015-02-20,76ers,, Isaiah Canaan,placed on IL
2015-02-20,76ers, Jason Richardson,,activated from IL
2015-02-20,Blazers,, Alonzo Gee,placed on IL
2015-02-20,Blazers,, Arron Afflalo,placed on IL
2015-02-20,Blazers, Chris Kaman,,activated from IL
2015-02-20,Bulls,, Cameron Bairstow,placed on IL
2015-02-20,Bulls, Jimmy Butler,,activated from IL
2015-02-20,Bulls, Kirk Hinrich,,activated from IL
2015-02-20,Celtics,, Jared Sullinger,placed on IL with stress fracture in left foot
2015-02-20,Celtics, Shavlik Randolph,,activated from IL
2015-02-20,Hawks, Mike Muscala,,activated from IL
2015-02-20,Hawks, Shelvin Mack,,activated from IL
2015-02-20,Heat,, Chris Bosh,placed on IL with blood clot in lungs (out for season)
2015-02-20,Heat, Dwyane Wade,,activated from IL
2015-02-20,Jazz,, Grant Jerrett,placed on IL
2015-02-20,Jazz, Rodney Hood,,activated from IL
2015-02-20,Kings,, Reggie Evans,placed on IL with bruised right knee
2015-02-20,Knicks, Lance Thomas,,activated from IL
2015-02-20,Nuggets,, Will Barton,placed on IL
2015-02-20,Nuggets, Jameer Nelson,,activated from IL
2015-02-20,Pacers,, Shayne Whittington,placed on IL
2015-02-20,Pacers, Lavoy Allen,,activated from IL
2015-02-20,Pelicans,, Justin Hamilton (Anthony),placed on IL
2015-02-20,Pelicans,, Norris Cole (Gene),placed on IL
2015-02-20,Pistons, Caron Butler,,activated from IL
2015-02-20,Rockets,, Nick Johnson,placed on IL
2015-02-20,Rockets, Terrence Jones,,activated from IL
2015-02-20,Spurs,, Jeff Ayres / Jeff Pendergraph,placed on IL
2015-02-20,Suns,, Danny Granger,placed on IL (out for season)
2015-02-20,Suns,, Marcus Thornton (T.),placed on IL
2015-02-20,Suns, Archie Goodwin,,activated from IL
2015-02-20,Suns, Reggie Bullock,,activated from IL
2015-02-20,Timberwolves,, Kevin Garnett,placed on IL
2015-02-20,Timberwolves, Gary Neal,,activated from IL
2015-02-20,Warriors,, James Michael McAdoo / James McAdoo (Michael),placed on IL
2015-02-21,Bulls,, Kirk Hinrich,placed on IL with illness
2015-02-21,Bulls, Cameron Bairstow,,activated from IL
2015-02-21,Pelicans, Norris Cole (Gene),,activated from IL
2015-02-21,Raptors,, Louis Williams / Lou Williams,placed on IL with ankle injury
2015-02-21,Raptors, Lucas Nogueira,,activated from IL
2015-02-21,Thunder,, Kevin Durant,placed on IL with right foot injury (out for season)
2015-02-22,76ers, Isaiah Canaan,,activated from IL
2015-02-22,Blazers, Arron Afflalo,,activated from IL
2015-02-22,Magic,, Maurice Harkless / Moe Harkless,placed on IL
2015-02-22,Magic, Tobias Harris,,activated from IL
2015-02-22,Mavericks,, Chandler Parsons,placed on IL with sprained left ankle
2015-02-22,Mavericks, Amare Stoudemire / Amar'e Stoudemire,,activated from IL
2015-02-22,Nuggets, Will Barton,,activated from IL
2015-02-23,Bulls,, Taj Gibson,placed on IL with illness
2015-02-23,Raptors,, Patrick Patterson,placed on IL with left knee injury
2015-02-23,Raptors, Louis Williams / Lou Williams,,activated from IL
2015-02-23,Spurs,, Matt Bonner,placed on IL
2015-02-23,Spurs, Jeff Ayres / Jeff Pendergraph,,activated from IL
2015-02-23,Suns, Marcus Thornton (T.),,activated from IL
2015-02-23,Timberwolves,, Shabazz Muhammad,placed on IL with recovering from surgery on left middle finger to repair ruptured ligament (out for season)
2015-02-24,Cavaliers,, Shawn Marion,placed on IL with strained left hip
2015-02-24,Raptors, Patrick Patterson,,activated from IL
2015-02-25,Blazers, Alonzo Gee,,activated from IL
2015-02-25,Bulls, Kirk Hinrich,,activated from IL
2015-02-25,Bulls, Taj Gibson,,activated from IL
2015-02-25,Clippers,, Blake Griffin,placed on IL recovering from surgery on right elbow to remove staph infection
2015-02-25,Jazz,, Ian Clark,placed on IL
2015-02-25,Jazz, Grant Jerrett,,activated from IL
2015-02-25,Kings, Reggie Evans,,activated from IL
2015-02-25,Mavericks, Dwight Powell,,activated from IL
2015-02-25,Rockets,, Clint Capela,placed on IL
2015-02-25,Rockets,, Kostas Papanikolaou,placed on IL with sprained right ankle
2015-02-25,Rockets, Nick Johnson,,activated from IL
2015-02-25,Spurs,, Reggie Williams,placed on IL
2015-02-25,Spurs, Matt Bonner,,activated from IL
2015-02-25,Thunder,, Steve Novak,placed on IL with appendectomy (date approximate)
2015-02-25,Timberwolves, Kevin Garnett,,activated from IL
2015-02-25,Bulls,, Derrick Rose,placed on IL with torn medial meniscus in righ tknee
2015-02-27,Bulls,, Pau Gasol,placed on IL with illness
2015-02-27,Kings,, DeMarcus Cousins,placed on IL with sprained left ankle
2015-02-27,Magic,, Aaron Gordon,placed on IL with sprained right ankle
2015-02-27,Magic,, Evan Fournier,placed on IL with hip injury
2015-02-27,Magic, Maurice Harkless / Moe Harkless,,activated from IL
2015-02-27,Magic, Roy Devyn Marble / Roy Marble (Devyn),,activated from IL
2015-02-27,Spurs,, Jeff Ayres / Jeff Pendergraph,placed on IL
2015-02-27,Spurs, Reggie Williams,,activated from IL
2015-02-27,Timberwolves,, Anthony Bennett,placed on IL with sprained right ankle
2015-02-27,Timberwolves, Robbie Hummel,,activated from IL
2015-02-28,Heat,, Chris Andersen,placed on IL with illness
2015-02-28,Mavericks,, Tyson Chandler,placed on IL with strained left hip
2015-02-28,Raptors,, Kyle Lowry,placed on IL for rest
2015-02-28,Spurs,, Reggie Williams,placed on IL
2015-02-28,Spurs, Jeff Ayres / Jeff Pendergraph,,activated from IL
2015-02-28,Wizards,, Kris Humphries,placed on IL with strained left groin
2015-02-28,Wizards, Bradley Beal,,activated from IL
2015-03-01,Blazers,, Allen Crabbe,placed on IL
2015-03-01,Blazers, Joel Freeland,,activated from IL
2015-03-01,Bulls,, Taj Gibson,placed on IL with sore left ankle
2015-03-01,Bulls, Pau Gasol,,activated from IL
2015-03-01,Hornets,, P.J. Hairston,placed on IL
2015-03-01,Hornets, Bismack Biyombo,,activated from IL
2015-03-02,Heat, Chris Andersen,,activated from IL
2015-03-02,Timberwolves,, Robbie Hummel,placed on IL with fractured right hand
2015-03-03,Bulls,, Jimmy Butler,placed on IL with sprained left elbow
2015-03-03,Kings, DeMarcus Cousins,,activated from IL
2015-03-03,Knicks,, Jose Calderon,placed on IL with sore/strained left Achilles (out for season)
2015-03-04,Celtics,, Shavlik Randolph,placed on IL with waived
2015-03-04,Celtics, Kelly Olynyk,,activated from IL
2015-03-04,Magic,, Roy Devyn Marble / Roy Marble (Devyn),placed on IL with detached retina in left eye (out for season)
2015-03-04,Magic, Aaron Gordon,,activated from IL
2015-03-04,Pacers,, Roy Hibbert,placed on IL with elbow injury
2015-03-04,Pacers, Shayne Whittington,,activated from IL
2015-03-05,Mavericks,, Dwight Powell,placed on IL
2015-03-05,Mavericks, Tyson Chandler,,activated from IL
2015-03-06,Celtics,, Avery Bradley,placed on IL with strained left elbow
2015-03-06,Celtics, Shavlik Randolph,,activated from IL
2015-03-06,Grizzlies, Vince Carter,,activated from IL
2015-03-06,Mavericks,, Devin Harris,placed on IL with right hand injury / hip injury (P)
2015-03-06,Mavericks, Dwight Powell,,activated from IL
2015-03-06,Pacers,, Shayne Whittington,placed on IL
2015-03-06,Pacers, Roy Hibbert,,activated from IL
2015-03-06,Raptors,, Lucas Nogueira,placed on IL
2015-03-06,Raptors, Kyle Lowry,,activated from IL
2015-03-06,Rockets,, Nick Johnson,placed on IL
2015-03-06,Rockets, Kostas Papanikolaou,,activated from IL
2015-03-07,Blazers,, Wesley Matthews / Wes Matthews Jr.,placed on IL with torn left Achilles tendon (out for season)
2015-03-07,Blazers, Allen Crabbe,,activated from IL
2015-03-07,Hawks,, Kyle Korver,placed on IL
2015-03-08,Clippers,, Jamal Crawford,placed on IL with bruised right calf
2015-03-08,Mavericks, Chandler Parsons,,activated from IL
2015-03-08,Thunder, Steven Adams,,activated from IL
2015-03-08,Mavericks,, Dwight Powell,placed on IL
2015-03-09,Hawks,, Jarell Eddie,placed on IL
2015-03-09,Hawks, Kyle Korver,,activated from IL
2015-03-09,Heat,, Zoran Dragic,placed on IL
2015-03-10,Mavericks,, Greg Smith (b. 1991-01-08),placed on IL
2015-03-10,Mavericks, Devin Harris,,activated from IL
2015-03-10,Pacers,, C.J. Miles,placed on IL with foot injury
2015-03-10,Pacers, Shayne Whittington,,activated from IL
2015-03-10,Pistons,, Joel Anthony,placed on IL with groin injury
2015-03-10,Spurs,, Emanuel Ginobili / Manu Ginobili,placed on IL with illness
2015-03-10,Spurs, Reggie Williams,,activated from IL
2015-03-11,Celtics,, Isaiah Thomas,placed on IL with back injury
2015-03-11,Celtics, Avery Bradley,,activated from IL
2015-03-11,Hornets,, Cody Zeller,placed on IL with shoulder injury
2015-03-11,Hornets, Kemba Walker,,activated from IL
2015-03-11,Nets,, Sergey Karasev,"placed on IL with torn MCL, disloated patella in right knee (out for season)"
2015-03-11,Pistons, Joel Anthony,,activated from IL
2015-03-11,Rockets,, Kostas Papanikolaou,placed on IL with sprained right ankle
2015-03-11,Rockets, Nick Johnson,,activated from IL
2015-03-11,Suns,, Brandon Knight,placed on IL with sprained left ankle
2015-03-11,Pistons,, Quincy Miller,placed on IL
2015-03-12,Grizzlies,, Mike Conley Jr.,placed on IL for rest
2015-03-12,Grizzlies,, Tony Allen,placed on IL for rest
2015-03-12,Grizzlies, Jarnell Stokes,,activated from IL
2015-03-12,Grizzlies, Russ Smith,,activated from IL
2015-03-12,Pacers,, Roy Hibbert,placed on IL with elbow injury
2015-03-12,Pacers, C.J. Miles,,activated from IL
2015-03-12,Spurs,, Reggie Williams,placed on IL
2015-03-12,Spurs, Emanuel Ginobili / Manu Ginobili,,activated from IL
2015-03-13,Hawks,, (James) Mike Scott,placed on IL with fractured left big toe
2015-03-13,Hawks, Jarell Eddie,,activated from IL
2015-03-13,Hornets,, Al Jefferson,placed on IL with strained right knee / right calf injury (P)
2015-03-13,Hornets, P.J. Hairston,,activated from IL
2015-03-13,Mavericks,, Al-Farouq Aminu,placed on IL with bruised/sprained left shoulder
2015-03-13,Mavericks, Greg Smith (b. 1991-01-08),,activated from IL
2015-03-13,Raptors, Bruno Caboclo,,activated from IL
2015-03-13,Thunder,, Serge Ibaka,placed on IL with right knee injury (out for season)
2015-03-13,Thunder, Steve Novak,,activated from IL
2015-03-13,Warriors,, Andrew Bogut,placed on IL
2015-03-13,Warriors, James Michael McAdoo / James McAdoo (Michael),,activated from IL
2015-03-14,Grizzlies,, Jarnell Stokes,placed on IL
2015-03-14,Grizzlies, Tony Allen,,activated from IL
2015-03-14,Pacers,, Donald Sloan,placed on IL with sprained toe
2015-03-14,Pacers, Roy Hibbert,,activated from IL
2015-03-14,Warriors, Andrew Bogut,,activated from IL
2015-03-14,Warriors,, James Michael McAdoo / James McAdoo (Michael),placed on IL
2015-03-15,Cavaliers,, Kevin Love,placed on IL for rest
2015-03-15,Clippers,, C.J. Wilcox,placed on IL
2015-03-15,Clippers, Blake Griffin,,activated from IL
2015-03-15,Raptors,, Bruno Caboclo,placed on IL
2015-03-16,Cavaliers, Shawn Marion,,activated from IL
2015-03-16,Hawks,, Kyle Korver,placed on IL with fractured nose
2015-03-16,Hawks, Thabo Sefolosha,,activated from IL
2015-03-16,Hornets,, P.J. Hairston,placed on IL
2015-03-16,Hornets, Al Jefferson,,activated from IL
2015-03-16,Pacers,, Shayne Whittington,placed on IL
2015-03-16,Pacers, Donald Sloan,,activated from IL
2015-03-16,Warriors,, Brandon Rush,placed on IL
2015-03-16,Warriors, James Michael McAdoo / James McAdoo (Michael),,activated from IL
2015-03-17,Pistons,, Greg Monroe,placed on IL with strained right knee
2015-03-17,Pistons, Quincy Miller,,activated from IL
2015-03-17,Spurs,, Aron Baynes,placed on IL with rib injury
2015-03-17,Spurs,, Emanuel Ginobili / Manu Ginobili,placed on IL with sprained right ankle
2015-03-17,Spurs, Kyle Anderson,,activated from IL
2015-03-17,Spurs, Reggie Williams,,activated from IL
2015-03-18,Cavaliers, Kevin Love,,activated from IL
2015-03-18,Celtics,, James Young,placed on IL
2015-03-18,Hawks,, Thabo Sefolosha,placed on IL with calf injury
2015-03-18,Mavericks,, Greg Smith (b. 1991-01-08),placed on IL
2015-03-18,Mavericks, Al-Farouq Aminu,,activated from IL
2015-03-18,Warriors,, Klay Thompson,placed on IL with sprained right ankle
2015-03-18,Warriors, Brandon Rush,,activated from IL
2015-03-18,Cavaliers,, Joe Harris,placed on IL
2015-03-20,Bulls, Taj Gibson,,activated from IL
2015-03-20,Clippers,, Glen Davis,placed on IL with illness
2015-03-20,Clippers, C.J. Wilcox,,activated from IL
2015-03-20,Grizzlies,, Russ Smith,placed on IL
2015-03-20,Grizzlies, Mike Conley Jr.,,activated from IL
2015-03-20,Heat, Zoran Dragic,,activated from IL
2015-03-20,Hornets,, Noah Vonleh,placed on IL
2015-03-20,Hornets,, Troy Daniels,placed on IL
2015-03-20,Hornets, Cody Zeller,,activated from IL
2015-03-20,Hornets, P.J. Hairston,,activated from IL
2015-03-20,Kings,, DeMarcus Cousins,placed on IL with strained right calf
2015-03-20,Spurs, Aron Baynes,,activated from IL
2015-03-21,Grizzlies,, Courtney Lee,placed on IL with right hand injury
2015-03-21,Grizzlies, Russ Smith,,activated from IL
2015-03-21,Jazz,, Grant Jerrett,placed on IL
2015-03-21,Jazz, Ian Clark,,activated from IL
2015-03-21,Kings, DeMarcus Cousins,,activated from IL
2015-03-22,Celtics, James Young,,activated from IL
2015-03-22,Clippers,, C.J. Wilcox,placed on IL
2015-03-22,Clippers, Glen Davis,,activated from IL
2015-03-22,Hawks, Kyle Korver,,activated from IL
2015-03-22,Hornets,, Cody Zeller,placed on IL with sore right shoulder (out for season)
2015-03-22,Hornets, Noah Vonleh,,activated from IL
2015-03-22,Mavericks,, Jose Juan Barea / Jose Barea / J.J. Barea,placed on IL with sprained left ankle
